,word,meaning
0,abate,subside or moderate
1,aberrant,abnormal or deviant
2,abeyance,suspended action
3,abscond,depart secretly and hide
4,abstemious,sparing in eating and drinking; temperate
5,admonish,warn; reprove
6,adulterate,make impure by adding inferior or tainted substances
7,aesthetic,artistic; dealing with or capable of appreciating the beautiful
8,aggregate,gather; accumulate
9,alacrity,cheerful promptness; eagerness
10,alleviate,relieve
11,amalgamate,combine; unite in one body
12,ambiguous,unclear or doubtful in meaning
13,ambivalence,the state of having contradictory or conflicting emotional attitudes
14,ameliorate,improve
15,anachronism,something or someone misplaced in time
16,analogous,comparable
17,anarchy,absence of governing body; state of disorder
18,anomalous,abnormal; irregular
19,antipathy,aversion; dislike
20,apathy,lack of caring; indifference
21,appease,pacify or soothe; relieve
22,apprise,inform
23,approbation,approval
24,appropriate,acquire; take possession of for one's own use
25,arduous,hard; strenuous
26,artless,without guile; open and honest
27,ascetic,practicing self-denial; austere
28,assiduous,diligent
29,assuage,ease or lessen (pain); satisfy (hunger); soothe (anger)
30,attenuate,"make thinner; weaken or lessen (in density, force, degree)"
31,audacious,daring; bold
32,austere,forbiddingly stern; severely simple and unornamented
33,aver,"assert confidently or declare; as used in law, state formally as a fact"
34,banal,hackneyed; commonplace; trite; lacking originality
35,belie,contradict; give a false impression
36,beneficent,kindly; doing good
37,bolster,support; reinforce
38,bombastic,pompous; using inflated language
39,boorish,rude; insensitive
40,burgeon,grow forth; send out buds
41,burnish,make shiny by rubbing; polish
42,buttress,support; prop up
43,cacophonous,discordant; inharmonious
44,capricious,unpredictable; fickle
45,castigation,punishment; severe criticism
46,catalyst,"agent that stimulates or precipitates a reaction, development, or change"
47,caustic,burning; sarcastically biting
48,chicanery,trickery; deception
49,coagulate,thicken; congeal; clot
50,coda,concluding section of a musical or literary composition; something that summarizes
51,cogent,convincing
52,commensurate,"corresponding in extent, degree, amount, etc.; proportionate"
53,compendium,"brief, comprehensive summary"
54,complaisant,trying to please; overly polite; obliging
55,compliant,yielding; conforming to requirements
56,conciliatory,reconciling; soothing
57,condone,overlook; forgive; give tacit approval; excuse
58,confound,confuse; puzzle
59,connoisseur,"person competent to act as a judge of art, etc.; a lover of an art"
60,contention,claim; thesis
61,contentious,quarrelsome
62,contrite,penitent
63,conundrum,riddle; difficult problem
64,converge,approach; tend to meet; come together
65,convoluted,coiled around; involved; intricate
66,craven,cowardly
67,daunt,intimidate; frighten
68,decorum,propriety; orderliness and good taste in manners
69,default,failure to act
70,deference,courteous regard for another's wish
71,delineate,portray; depict; sketch
72,denigrate,blacken
73,deride,ridicule; make fun of
74,derivative,unoriginal; obtained from another source
75,desiccate,dry up
76,desultory,aimless; haphazard; digressing at random
77,deterrent,something that discourages; hindrance
78,diatribe,bitter scolding; invective
79,dichotomy,split; branching into two parts (especially contradictory ones)
80,diffidence,shyness
81,diffuse,wordy; rambling; spread out (like a gas)
82,digression,wandering away from the subject
83,dirge,lament with music
84,disabuse,correct a false impression; undeceive
85,discerning,mentally quick and observant; having insight
86,discordant,not harmonious; conflicting
87,discredit,defame; destroy confidence in; disbelieve
88,discrepancy,lack of consistency; difference
89,discrete,separate; unconnected; consisting of distinct parts
90,disingenuous,lacking genuine candor; insincere
91,disinterested,unprejudiced
92,disjointed,lacking coherence
93,dismiss,eliminate from consideration; reject
94,disparage,belittle
95,disparate,basically different; unrelated
96,dissemble,disguise; pretend
97,disseminate,distribute; spread; scatter (like seeds)
98,dissolution,disintegration; looseness in morals
99,dissonance,discord; opposite of harmony
100,distend,expand; swell out
101,distill,purify; refine; concentrate
102,diverge,vary; go in different directions from the same point
103,divest,strip; deprive
104,document,provide written evidence
105,dogmatic,opinionated; arbitrary; doctrinal
106,dormant,sleeping; lethargic; latent
107,dupe,someone easily fooled
108,ebullient,showing excitement; overflowing with enthusiasm
109,eclectic,selective; composed of elements drawn from disparate sources
110,efficacy,power to produce desired effect
111,effrontery,impudence; shameless boldness; sheer nerve; presumptuousness
112,elegy,poem or song expressing lamentation
113,elicit,draw out by discussion
114,embellish,"adorn; ornament; enhance, as a story"
115,empirical,base on experience
116,emulate,imitate; rival
117,endemic,prevailing among a specific group of people or an area
118,enervate,weaken
119,engender,cause; produce
120,enhance,increase; improve
121,ephemeral,short-lived; fleeting
122,equanimity,calmness of temperament; composure
123,equivocate,"lie, mislead; attempt to conceal the truth"
124,erudite,learned; scholarly
125,esoteric,hard to understand; known only to the chosen few
126,eulogy,"expression of praise, often on the occasion of someone's death"
127,euphemism,mild expression in place of an unpleasant one
128,exacerbate,worsen; embitter
129,exculpate,clear from blame
130,exigency,urgent situation; pressing needs or demands; state of requiring immediate attention
131,extrapolation,projection; superfluous
132,facetious,joking (often inappropriately); humorous
133,facilitate,help bring about; make less difficult
134,fallacious,false; misleading
135,fatuous,"brainless; inane; foolish, yet smug"
136,fawning,"trying to please by behaving obsequiously, flattering or cringing"
137,felicitous,apt; suitably expressed; well chosen
138,fervor,glowing ardor; intensity of feeling
139,flag,droop; grow feeble
140,fledgling,inexperienced
141,flout,reject; mock; show contempt for
142,foment,stir up; instigate
143,forestall,prevent by taking action in advance
144,frugality,thrift; economy
145,futile,useless; hopeless; ineffectual
146,gainsay,deny
147,garrulous,loquacious; wordy; talkative
148,goad,urge on
149,gouge,overcharge
150,grandiloquent,pompous; bombastic; using high-sounding language
151,gregarious,sociable
152,guileless,without deceit
153,gullible,easily deceived
154,harangue,"long, passionate, and vehement speech"
155,homogenous,of the same kind
156,hyperbole,exaggeration; overstatement
157,iconoclast,attacking cherished traditions
158,idolatry,worship of idols; excessive admiration
159,immutable,unchangeable
160,impair,injure; hurt
161,impassive,without feeling; imperturbable; stoical
162,impede,"hinder, block"
163,impermeable,impervious; not permitting passage through its substance
164,imperturbable,calm; placid
165,impervious,impenetrable; incapable of being damaged or distressed
166,implacable,incapable of being pacified
167,implicit,understood but not stated
168,implode,burst inward
169,inadvertently,unintentionally; by oversight; carelessly
170,inchoate,recently begun; rudimentary; elementary
171,incongruity,lack of harmony; absurdity
172,inconsequential,insignificant; unimportant
173,incorporate,introduce something into a larger whole; combine; unite
174,indeterminate,uncertain; not clearly fixed; indefinite
175,indigence,poverty
176,indolent,lazy
177,inert,inactive; lacking power to move
178,ingenuous,naive and trusting; young; unsophisticated
179,inherent,firmly established by nature or habit
180,innocuous,harmless
181,insensible,unconscious; unresponsive
182,insinuate,hint; imply; creep in
183,insipid,lacking in flavor; dull
184,insularity,narrow-mindedness; isolation
185,intractable,unruly; stubborn; unyielding
186,intransigence,refusal of any compromise; stubbornness
187,inundate,overwhelm; flood; submerge
188,inured,accustomed; hardened
189,invective,abuse
190,irascible,irritable; easily angered
191,irresolute,uncertain how to act; weak
192,itinerary,plan of a trip
193,laconic,brief and to the point
194,lassitude,languor; weariness
195,latent,potential but undeveloped; dormant; hidden
196,laud,praise
197,lethargic,drowsy; dull
198,levee,earthen or stone embankment to prevent flooding
199,levity,lack of seriousness or steadiness; frivolity
200,log,record of a voyage or flight; record of day-to-day activities
201,loquacious,talkative
202,lucid,easily understood; clear; intelligible
203,luminous,shining; issuing light
204,magnanimity,generosity
205,malingerer,one who feigns illness to escape duty
206,malleable,capable of being shaped by pounding; impressionable
207,maverick,rebel; nonconformist
208,mendacious,lying; habitually dishonest
209,metamorphosis,change of form
210,meticulous,excessively careful; painstaking; scrupulous
211,misanthrope,one who hates mankind
212,mitigate,lessen in intensity; moderate; appease
213,mollify,soothe
214,morose,ill-humored; sullen; melancholy
215,mundane,worldly as opposed to spiritual; everyday
216,negate,cancel out; nullify; deny
217,neophyte,recent convert; beginner
218,obdurate,stubborn
219,obsequious,slavishly attentive; servile; sycophantic
220,obviate,make unnecessary; get rid of
221,occlude,shut; close
222,officious,meddlesome; excessively pushy in offering one's services
223,onerous,burdensome
224,opprobium,infamy; vilification
225,oscillate,vibrate pendulumlike; waver
226,ostentatious,showy; pretentious; trying to attract attention
227,paragon,model of perfection
228,partisan,one-sided; prejudiced; committed to a party
229,pathological,pertaining to disease
230,paucity,scarcity
231,pedantic,showing off learning; bookish
232,penchant,strong inclination; liking
233,penury,severe poverty; stinginess
234,perennial,something long-lasting
235,perfidious,treacherous; disloyal
236,perfunctory,"superficial; not thorough; lacking interest, care, or enthusiasm"
237,permeable,penetrable; porous; allowing liquids or gas to pass through
238,pervasive,spread throughout
239,phlegmatic,calm; not easily disturbed
240,piety,devoutness; reverence for God
241,placate,pacify; conciliate
242,plasticity,ability to be molded
243,platitude,trite remark; commonplace statement
244,plethora,excess; overabundance
245,plummet,fall sharply
246,porous,full of pores; like a sieve
247,pragmatic,practical (as opposed to idealistic)
248,preamble,introductory statement
249,precarious,uncertain; risky
250,precipitate,rash; premature; hasty; sudden
251,precursor,forerunner; harbinger
252,presumptuous,arrogant; taking liberties
253,prevaricate,lie
254,pristine,characteristic of earlier times; primitive; unspoiled
255,probity,uprightness; incorruptibility
256,problematic,doubtful; unsettled; questionable; perplexing
257,prodigal,wasteful; reckless with money
258,profound,deep; not superficial; complete
259,prohibitive,inclined to prevent or forbid
260,proliferate,grow rapidly; spread; multiply
261,propensity,natural inclination
262,propitiate,appease
263,propriety,fitness; correct conduct
264,proscribe,ostracize; banish; outlaw
265,pungent,stinging; sharp in taste or smell; caustic
266,qualified,limited; restricted
267,quibble,minor objection or complaint
268,quiescent,at rest; dormant; temporarily inactive
269,rarefied,made less dense (of a gas)
270,recalcitrant,obstinately stubborn; determined to resist authority; unruly
271,recant,disclaim or disavow; retract a previous statement; openly confess error
272,recluse,hermit; loner
273,recondite,abstruse; profound; secret
274,refractory,stubborn; unmanageable
275,refute,disprove
276,relegate,banish to an inferior position; delegate; assign
277,reproach,express disapproval or disappointment
278,reprobate,"person hardened by sin, devoid of a sense of decency"
279,repudiate,disown; disavow
280,rescind,cancel
281,resolution,determination
282,resolve,determination; firmness of purpose
283,reticent,reserved; uncommunicative; inclined to silence
284,reverent,respectful; worshipful
285,sage,person celebrated for wisdom
286,salubrious,healthful
287,sanction,approve; ratify
288,satiate,satisfy fully
289,saturate,soak thoroughly
290,savor,"enjoy; have a distinctive flavor, smell, or quality"
291,secrete,hide away or cache; produce and release a substance into an organism
292,shard,fragment; generally of pottery
293,skeptic,doubter; person who suspends judgment until having examined the evidence supporting a point of view
294,solicious,"worried, concerned"
295,soporific,sleep-causing; marked by sleepiness
296,specious,seemingly reasonable but incorrect; misleading (often intentional)
297,spectrum,colored band produced when a beam of light passes through a prism
298,sporadic,occurring irregularly
299,stigma,token of disgrace; brand
300,stint,be thrifty; set limits
301,stipulate,"make express conditions, specify"
302,stolid,dull; impassive
303,striated,marked with parallel bands; grooved
304,strut,supporting bar
305,subpoena,writ summoning a witness to appear
306,subside,settle down; descend; grow quiet
307,substantiate,establish by evidence; verify; support
308,supersede,cause to be set aside; replace; make obsolete
309,supposition,hypothesis; surmise
310,tacit,understood; not put into words
311,tangential,peripheral; only slightly connected; digressing
312,tenuous,thin; rare; slim
313,tirade,extended scolding; denunciation; harangue
314,torpor,lethargy; sluggishness; dormancy
315,tortuous,winding; full of curves
316,tractable,docile; easily managed
317,transgression,violation of a law; sin
318,truculence,aggressiveness; ferocity
319,vacillate,waver; fluctuate
320,venerate,revere
321,veracious,truthful
322,verbose,wordy
323,viable,practical or workable; capable of maintaining life
324,viscous,"sticky, gluey"
325,vituperative,abusive; scolding
326,volatile,changeable; explosive; evaporating rapidly
327,warranted,justified; authorized
328,wary,very cautious
329,welter,turmoil; bewildering jumble
330,whimsical,capricious; fanciful
331,zealot,fanatic; person who shows excessive zeal
